"uri","sort_name","authority_id","created_by"
"/agents/people/56287","Hill, Percy A., -1937","http://id.loc.gov/authorities/names/no00070025","lyrasis-dts"
"/agents/people/56289","Montezuma, Carlos, 1866-1923","http://id.loc.gov/authorities/names/n82102517","lyrasis-dts"
"/agents/people/56293","Choulant, Ludwig, 1791-1861","http://id.loc.gov/authorities/names/n83827585","lyrasis-dts"
"/agents/people/56296","Wadsworth, James Wolcott, 1877-1952","http://id.loc.gov/authorities/names/n95035640","lyrasis-dts"
"/agents/people/56300","Danes, Gibson A.","http://id.loc.gov/authorities/names/n80104332","lyrasis-dts"
"/agents/people/56301","Colt, Judah, 1761-1832","http://id.loc.gov/authorities/names/nr92016389","lyrasis-dts"
"/agents/people/56302","Wood, George, 1799-1870","http://id.loc.gov/authorities/names/n85381690","lyrasis-dts"
"/agents/people/56303","Folsom, David E.","http://id.loc.gov/authorities/names/n00067146","lyrasis-dts"
"/agents/people/56305","Alexander, Michael J.","http://id.loc.gov/authorities/names/n79097374","lyrasis-dts"
"/agents/people/56307","Hirschfeld, Gerhard, 1936-","http://id.loc.gov/authorities/names/n85278587","lyrasis-dts"
"/agents/people/56309","Forbes, John Murray, 1771-1831","http://id.loc.gov/authorities/names/n95120370","lyrasis-dts"
"/agents/people/56316","Bingham, Hiram, 1789-1869","http://id.loc.gov/authorities/names/n50009373","lyrasis-dts"
"/agents/people/56321","Reeve, Charles McCormick, 1847-1947","http://id.loc.gov/authorities/names/no2001011263","lyrasis-dts"
"/agents/people/56323","Cortissoz, Royal, 1869-1948","http://id.loc.gov/authorities/names/n50018132","lyrasis-dts"
"/agents/people/56324","Troostwyk, Isidore","http://id.loc.gov/authorities/names/n94028523","lyrasis-dts"
"/agents/people/56325","Gates, Artemus L. (Artemus Lamb), 1895-1976","http://id.loc.gov/authorities/names/no2009198892","lyrasis-dts"
"/agents/people/56329","Davidson, J. Morrison (John Morrison), 1843-1916","http://id.loc.gov/authorities/names/no2011109447","lyrasis-dts"
"/agents/people/56332","Beers, Nathan, 1753-1849","http://id.loc.gov/authorities/names/n88257548","lyrasis-dts"
"/agents/people/56333","Halleck, Fitz-Greene, 1790-1867","http://id.loc.gov/authorities/names/nr91009399","lyrasis-dts"
"/agents/people/56336","Malpighi, Marcello, 1628-1694","http://id.loc.gov/authorities/names/n84802947","lyrasis-dts"
"/agents/people/56337","De Sabata, Victor, 1892-1967","http://id.loc.gov/authorities/names/n79059137","lyrasis-dts"
"/agents/people/56338","Rochambeau, Jean-Baptiste-Donatien de Vimeur, comte de, 1725-1807","http://id.loc.gov/authorities/names/n50049078","lyrasis-dts"
"/agents/people/56339","Drummond, Roscoe, 1902-1983","http://id.loc.gov/authorities/names/n2004022260","lyrasis-dts"
"/agents/people/56341","Hale, William Bayard, 1869-1924","http://id.loc.gov/authorities/names/n89636221","lyrasis-dts"
"/agents/people/56343","Lull, Edward Phelps, 1836-1887","http://id.loc.gov/authorities/names/n96042532","lyrasis-dts"
"/agents/people/56344","Jones, Samuel Milton, 1846-1904","http://id.loc.gov/authorities/names/n97005012","lyrasis-dts"
"/agents/people/56345","Dexter, Henry Martyn, 1821-1890","http://id.loc.gov/authorities/names/n85221157","lyrasis-dts"
"/agents/people/56346","Beach, Stanley Yale","http://id.loc.gov/authorities/names/n82103613","lyrasis-dts"
"/agents/people/56347","Van Loon, Hendrik Willem, 1882-1944","http://id.loc.gov/authorities/names/n50046677","lyrasis-dts"
"/agents/people/56348","Godolphin, William, Sir, 1634?-1696","http://id.loc.gov/authorities/names/n85240444","lyrasis-dts"
"/agents/people/56349","Lecache, Bernard","http://id.loc.gov/authorities/names/n84239935","lyrasis-dts"
"/agents/people/56351","Cole, Timothy, 1852-1931","http://id.loc.gov/authorities/names/n83184882","lyrasis-dts"
"/agents/people/56359","Rubey, William Walden, 1898-1974","http://id.loc.gov/authorities/names/n80097395","lyrasis-dts"
"/agents/people/56360","Hayman, Al, 1852?-1917","http://id.loc.gov/authorities/names/no2009025064","lyrasis-dts"
"/agents/people/56361","Eaton, Amos Beebe, 1806-1877","http://id.loc.gov/authorities/names/nr2003010641","lyrasis-dts"
"/agents/people/56368","Hoessler, Franz, 1906-1945","http://id.loc.gov/authorities/names/no2002102132","lyrasis-dts"
"/agents/people/56374","Fletcher, John Gould, 1886-1950","http://id.loc.gov/authorities/names/n79034407","lyrasis-dts"
"/agents/people/56375","Carrington, Dora de Houghton, 1893-1932","http://id.loc.gov/authorities/names/n81074316","lyrasis-dts"
"/agents/people/56376","Dillard, J. H. (James Hardy), 1856-1940","http://id.loc.gov/authorities/names/n88156249","lyrasis-dts"
"/agents/people/56379","Nesmith, James Willis, 1820-1885","http://id.loc.gov/authorities/names/n86857653","lyrasis-dts"
"/agents/people/56382","Lasker-Schüler, Else, 1869-1945","http://id.loc.gov/authorities/names/n80034059","lyrasis-dts"
"/agents/people/56383","Steichen, Lilian, 1883-1977","http://id.loc.gov/authorities/names/n85385796","lyrasis-dts"
"/agents/people/56384","Ross, James, 1762-1847","http://id.loc.gov/authorities/names/n82097464","lyrasis-dts"
"/agents/people/56394","Zilboorg, Gregory, 1890-1959","http://id.loc.gov/authorities/names/n50013545","lyrasis-dts"
"/agents/people/56397","Proskauer, Joseph M. (Joseph Meyer), 1877-1971","http://id.loc.gov/authorities/names/n89648243","lyrasis-dts"
"/agents/people/56411","Bruchac, Carol","http://id.loc.gov/authorities/names/n86035607","lyrasis-dts"
