uri,sort_name,authority_id,created_by,
/agents/people/56641,"Andrews, James De Witt, 1856-1928",http://id.loc.gov/authorities/names/n85199986,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56651,"Officer, Morris, 1823-1874",http://id.loc.gov/authorities/names/no93025953,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56657,"Bory, Jean-François, 1938-",http://id.loc.gov/authorities/names/n80106821,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56660,"Sektberg, Willard, 1902-1989",http://id.loc.gov/authorities/names/n2006064133,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56661,"Tyler, Joseph",http://id.loc.gov/authorities/names/no2016078381,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56674,"Pryor, Samuel F., Jr. (Samuel Frazier), 1898-1985",http://id.loc.gov/authorities/names/n98012991,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56676,"Pope, G. (Gustave)",http://id.loc.gov/authorities/names/no2011024276,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56683,"Francis, J. G. (Joseph Greene), 1849-1930",http://id.loc.gov/authorities/names/n85236450,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56685,"Cowan, Robert Ernest, 1862-1942",http://id.loc.gov/authorities/names/n85046465,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56690,"Wellington, Sheila W.",http://id.loc.gov/authorities/names/no96048808,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56694,"Bates, Robert Chapman, 1901-1942",http://id.loc.gov/authorities/names/n94091866,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56695,"Lemisch, Jesse, 1936-",http://id.loc.gov/authorities/names/n97028404,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56701,"Viets, Roger, 1738-1811",http://id.loc.gov/authorities/names/n85352473,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56702,"Dale, Joseph, 1750-1821",http://id.loc.gov/authorities/names/n88023713,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56709,"Ordway, Samuel H., Jr., 1900-1971",http://id.loc.gov/authorities/names/no2014087882,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56713,"Fredgant, Sara, 1900-",http://id.loc.gov/authorities/names/nr92026904,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56715,"Pearce, John N.",http://id.loc.gov/authorities/names/no2004081965,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56721,"Douskey, Franz",http://id.loc.gov/authorities/names/n81015078,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56732,"Rabinovits, Yitsḥaḳ, 1887-1968",http://id.loc.gov/authorities/names/no2003126311,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56740,"Oertel, Hanns, 1868-",http://id.loc.gov/authorities/names/n82107884,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56744,"Lockwood, James, 1714-1772",http://id.loc.gov/authorities/names/n85198544,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56758,"Lewis, Charlton Miner, 1866-1923",http://id.loc.gov/authorities/names/n50049255,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56760,"Hutchins, Henry Clinton, 1889-",http://id.loc.gov/authorities/names/n96045520,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56775,"Pettit, Frederick, 1842-1864",http://id.loc.gov/authorities/names/n90665984,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56795,"Nelson, John Oliver, 1909-1990",http://id.loc.gov/authorities/names/n80104373,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56839,"Lewis, Isaac Chauncey, 1812-1893",http://id.loc.gov/authorities/names/n92030799,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56844,"Drury, Annmarie",http://id.loc.gov/authorities/names/nr2005015226,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56853,"Moore, Douglas",http://id.loc.gov/authorities/names/no00015471,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56864,"Barstow, Z. S. (Zedekiah Smith), 1790-1873",http://id.loc.gov/authorities/names/nr93035546,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56873,"Clayton, J. E. (Joshua Elliot)",http://id.loc.gov/authorities/names/n2001079248,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56878,"Davis, Henry S., 1876-1971",http://id.loc.gov/authorities/names/n2003074221,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56880,"Yerkes, Ada W. (Ada Watterson), 1873-1963",http://id.loc.gov/authorities/names/n2009160516,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56901,"Furer, Manuel",http://id.loc.gov/authorities/names/n96802378,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56915,"Waterman, Warren Gookin, 1872-1952",http://id.loc.gov/authorities/names/n87137336,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56925,"Scales, William, 1741-1807",http://id.loc.gov/authorities/names/n85352424,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56935,"Stuart, Kelsey William",http://id.loc.gov/authorities/names/n82152870,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56952,"Shepard, Ward, 1887-1959",http://id.loc.gov/authorities/names/n79122424,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56955,"Backus, Simon",http://id.loc.gov/authorities/names/n2006161454,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56993,"Babbitt, Elwood, 1922-",http://id.loc.gov/authorities/names/n82043545,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57004,"Livingston, Luther Samuel, 1864-1914",http://id.loc.gov/authorities/names/n80040498,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57015,"Kavaler, Florence",http://id.loc.gov/authorities/names/n81087847,lyrasis-dts,Could not retrieve Wikidata URI
