uri,sort_name,authority_id,created_by,
/agents/people/75996,"Azevedo, Luiz Heitor Corrêa de, 1905-",http://id.loc.gov/authorities/names/n82078471,amd243,http://www.wikidata.org/entity/Q10321487
/agents/corporate_entities/9568,Canadian Jewish Congress,http://id.loc.gov/authorities/names/n50039281,lyrasis-dts,http://www.wikidata.org/entity/Q1032173
/agents/people/75257,"Lee, Manfred B. (Manfred Bennington), 1905-1971",http://id.loc.gov/authorities/names/n88172362,lyrasis-dts,http://www.wikidata.org/entity/Q10323597
/agents/people/86555,"Pinthus, Kurt, 1886-1975",http://id.loc.gov/authorities/names/n84169433,amd243,http://www.wikidata.org/entity/Q103296
/agents/people/92934,"Cox, Samuel Sullivan, 1824-1889",http://id.loc.gov/authorities/names/n50018799,lyrasis-dts,http://www.wikidata.org/entity/Q1032998
/agents/people/83852,"Pinto, Octavio, 1890-1950",http://id.loc.gov/authorities/names/n83190626,amd243,http://www.wikidata.org/entity/Q10340181
/agents/people/85338,"Carneiro, Paulo E. de Berrêdo (Paulo Estevão de Berrêdo), 1901-",http://id.loc.gov/authorities/names/n84223881,lyrasis-dts,http://www.wikidata.org/entity/Q10346491
/agents/corporate_entities/12216,Hechalutz (Organization),http://id.loc.gov/authorities/names/n83071409,lyrasis-dts,http://www.wikidata.org/entity/Q1034719
/agents/people/92736,"Darwin, Charles, 1809-1882",http://id.loc.gov/authorities/names/n78095637,amd243,http://www.wikidata.org/entity/Q1035
/agents/people/87398,"Pell, Herbert Claiborne, 1884-1961",http://id.loc.gov/authorities/names/n85334243,lyrasis-dts,http://www.wikidata.org/entity/Q1035419
/agents/people/57912,"McWilliams, Carey, 1905-1980",http://id.loc.gov/authorities/names/n78083426,amd243,http://www.wikidata.org/entity/Q1035945
/agents/people/64573,"Miller, Glenn, 1904-1944",http://id.loc.gov/authorities/names/n50033672,amd243,http://www.wikidata.org/entity/Q103651
/agents/corporate_entities/11698,University of Chicago. Law School,http://id.loc.gov/authorities/names/n79060603,lyrasis-dts,http://www.wikidata.org/entity/Q1036763
/agents/people/68165,"Bamberger, Carl, 1902-1987",http://id.loc.gov/authorities/names/n88235276,lyrasis-dts,http://www.wikidata.org/entity/Q1036939
/agents/people/82997,"Seashore, Carl E. (Carl Emil), 1866-1949",http://id.loc.gov/authorities/names/nr89004162,amd243,http://www.wikidata.org/entity/Q1037629
/agents/people/72647,"Ebeling, Christoph Daniel, 1741-1817",http://id.loc.gov/authorities/names/n86803838,amd243,http://www.wikidata.org/entity/Q103831
/agents/people/86647,"Hovland, Carl Iver, 1912-",http://id.loc.gov/authorities/names/n80109172,lyrasis-dts,http://www.wikidata.org/entity/Q1038976
/agents/corporate_entities/10751,New York Life Insurance Company,http://id.loc.gov/authorities/names/n89612127,lyrasis-dts,http://www.wikidata.org/entity/Q1039380
/agents/people/69736,"Becker, Carl L. (Carl Lotus), 1873-1945",http://id.loc.gov/authorities/names/n79121326,lyrasis-dts,http://www.wikidata.org/entity/Q1039506
/agents/people/76066,"McKinley, Carl, 1895-1966",http://id.loc.gov/authorities/names/no90011066,amd243,http://www.wikidata.org/entity/Q1039723
