lc_uri,snac_ark
http://id.loc.gov/authorities/names/n85278587,http://n2t.net/ark:/99166/w6x34z5k
http://id.loc.gov/authorities/names/n95120370,http://n2t.net/ark:/99166/w6pc3719
http://id.loc.gov/authorities/names/n86864426,http://n2t.net/ark:/99166/w6zs61fz
http://id.loc.gov/authorities/names/n50009373,http://n2t.net/ark:/99166/w67m1gt4
http://id.loc.gov/authorities/names/no2001011263,http://n2t.net/ark:/99166/w6dg0z2v
http://id.loc.gov/authorities/names/n80019662,http://n2t.net/ark:/99166/w61r6ng4
http://id.loc.gov/authorities/names/n50018132,http://n2t.net/ark:/99166/w69z97ch
http://id.loc.gov/authorities/names/n94028523,http://n2t.net/ark:/99166/w69g672h
http://id.loc.gov/authorities/names/no2009198892,http://n2t.net/ark:/99166/w6z6181q
http://id.loc.gov/authorities/names/nr97014675,http://n2t.net/ark:/99166/w6pz66t6
http://id.loc.gov/authorities/names/n88257548,http://n2t.net/ark:/99166/w647877j
http://id.loc.gov/authorities/names/nr91009399,http://n2t.net/ark:/99166/w6qz2px4
http://id.loc.gov/authorities/names/n50039680,http://n2t.net/ark:/99166/w6sf3rcm
http://id.loc.gov/authorities/names/n84802947,http://n2t.net/ark:/99166/w680517r
http://id.loc.gov/authorities/names/n79059137,http://n2t.net/ark:/99166/w6mk6jr1
http://id.loc.gov/authorities/names/n50049078,http://n2t.net/ark:/99166/w62n5cqv
http://id.loc.gov/authorities/names/n2004022260,http://n2t.net/ark:/99166/w6h1365p
http://id.loc.gov/authorities/names/n89636221,http://n2t.net/ark:/99166/w6v98txr
http://id.loc.gov/authorities/names/n96042532,http://n2t.net/ark:/99166/w6z63517
http://id.loc.gov/authorities/names/n97005012,http://n2t.net/ark:/99166/w68k7j47
http://id.loc.gov/authorities/names/n85221157,http://n2t.net/ark:/99166/w6hx467x
http://id.loc.gov/authorities/names/n50046677,http://n2t.net/ark:/99166/w6qv3n6n
http://id.loc.gov/authorities/names/n85240444,http://n2t.net/ark:/99166/w65d9bj7
http://id.loc.gov/authorities/names/n84148120,http://n2t.net/ark:/99166/w6x63k5p
http://id.loc.gov/authorities/names/n83184882,http://n2t.net/ark:/99166/w6b859c7
http://id.loc.gov/authorities/names/n80097395,http://n2t.net/ark:/99166/w6j431vx
http://id.loc.gov/authorities/names/no2009025064,http://n2t.net/ark:/99166/w6qv5p1k
http://id.loc.gov/authorities/names/nr2003010641,http://n2t.net/ark:/99166/w6cn869b
http://id.loc.gov/authorities/names/n79034407,http://n2t.net/ark:/99166/w6hx1gv5
http://id.loc.gov/authorities/names/n81074316,http://n2t.net/ark:/99166/w60g44v1
http://id.loc.gov/authorities/names/n88156249,http://n2t.net/ark:/99166/w6vh5wds
http://id.loc.gov/authorities/names/n86857653,http://n2t.net/ark:/99166/w68k7ghb
http://id.loc.gov/authorities/names/n79053869,http://n2t.net/ark:/99166/w6v129mg
http://id.loc.gov/authorities/names/n80034059,http://n2t.net/ark:/99166/w6k64k2m
http://id.loc.gov/authorities/names/n85385796,http://n2t.net/ark:/99166/w6vq6nwm
http://id.loc.gov/authorities/names/n82097464,http://n2t.net/ark:/99166/w6988bqz
http://id.loc.gov/authorities/names/no93009579,http://n2t.net/ark:/99166/w6m62gqf
http://id.loc.gov/authorities/names/n50013545,http://n2t.net/ark:/99166/w6vt2gnx
http://id.loc.gov/authorities/names/n89648243,http://n2t.net/ark:/99166/w6ff4f98
http://id.loc.gov/authorities/names/n79110514,http://n2t.net/ark:/99166/w6j965f2
http://id.loc.gov/authorities/names/n85367681,http://n2t.net/ark:/99166/w6348np0
http://id.loc.gov/authorities/names/nr92001227,http://n2t.net/ark:/99166/w64x5pcg
